,Year,Country Name,Fertility Rate
5349,1980,Brazil,4.037
5615,1981,Brazil,3.943
5881,1982,Brazil,3.838
6147,1983,Brazil,3.723
6413,1984,Brazil,3.6
6679,1985,Brazil,3.471
6945,1986,Brazil,3.342
7211,1987,Brazil,3.234
7477,1988,Brazil,3.112
7743,1989,Brazil,3.01
8009,1990,Brazil,2.905
8275,1991,Brazil,2.815
8541,1992,Brazil,2.719
8807,1993,Brazil,2.672
9073,1994,Brazil,2.617
9339,1995,Brazil,2.579
9605,1996,Brazil,2.516
9871,1997,Brazil,2.465
10137,1998,Brazil,2.409
10403,1999,Brazil,2.331
10669,2000,Brazil,2.255
10935,2001,Brazil,2.183
11201,2002,Brazil,2.103
11467,2003,Brazil,2.023
11733,2004,Brazil,2.002
11999,2005,Brazil,1.974
12265,2006,Brazil,1.927
12531,2007,Brazil,1.881
12797,2008,Brazil,1.842
13063,2009,Brazil,1.825
13329,2010,Brazil,1.81
13595,2011,Brazil,1.8
13861,2012,Brazil,1.767
14127,2013,Brazil,1.748
14393,2014,Brazil,1.767
14659,2015,Brazil,1.777
14925,2016,Brazil,1.709
15191,2017,Brazil,1.736
15457,2018,Brazil,1.749
15723,2019,Brazil,1.703
15989,2020,Brazil,1.649
16255,2021,Brazil,1.641
16521,2022,Brazil,1.626
